club_id,nombre
1,Muntanyenc S.Cugat
2,CA Granollers
3,UGE Badalona
4,UA Barberà
5,CA Sant Just
6,CA Calella
7,ACE Riudellots
8,CA Figueres
9,GEiE Gironí
10,CA Mollet
11,CA Vic
12,CA Canovelles
13,JA Sabadell
14,Dinami-k CA Vilanova
15,CA Mas Piera (CAMP)
16,AA Catalunya
17,UA Terrassa
18,Martorell AC
19,CE Universitari
20,GA Lluïsos Mataro
21,CD Palafolls
22,CA Cardedeu
23,CA Parets
24,Avinent Manresa
25,Barcelona At.
26,CA Gavà
27,L'Hospitalet At.
28,CA Canaletes
29,CE Cerdanyola
30,CA Terres de Ponent
31,CA Castellar
32,CA Sant Celoni
33,Ripollet UA
34,Pratenc AA
35,CA Palafolls
36,CA Nou Barris
37,CA Sant Andreu Barca
38,Cornellà At.
39,FACVAC Valls
40,CA Igualada
41,CA La Pobla de Segur
42,Escatxics Agramunt
43,Runner's Balaguer CE
44,UA Rubí
45,CE Cassanenca
46,CA Sant Boi
47,CA Olesa
48,CA Montornes
49,CA Terres de l´Ebre
50,CA Vilafranca
51,CA Laietania
52,CE Penedès
53,JA Montcada
54,Sense llic
55,Desconocido
56,CA Canovelles En tràmit
57,U Colomenca At.
58,CA Ascó
59,CA Baix Montseny
60,CA Sta.Cristina d'Aro
61,CA Tarragona
62,CA Molins
63,CA Viladecans
64,CN Reus Ploms
65,CA Calafell
66,Pedala.cat
67,CA Lloret-La Selva
68,CG Tarragona
69,CA Cambrils
70,CA Puigcerda
71,FC Barcelona
72,CA Torello
73,AAE Escola Treball
74,UE Sants
75,CN Banyoles
76,CA Porqueres
77,A Olot-Terra Volcans
78,GEiE GironI
79,Penya APA Anem-hi
80,UA RubI
81,CA Sport Canet
82,JA Arbeca
83,CA Olimpic Farners
84,JAB-Berga
85,UA Terrassa Tràmit
86,CA Atletesvng.org
87,Runners El Vendrell
88,Viaro CE
89,CA Vila-Seca
90,AA Palamos
91,CE Penedès CL 17130
92,RTC Running Club
93,CA Palafrugell-GiCB
94,EA Llagostera
95,ESC. ESTACIO
96,AA Figueres
97,EEM Caldes
98,UGE Badalona En tràmit
99,CE Irunwithleiva
100,Andorra At.
101,INDEPENDIENTE
102,JA Sabadell klub@knlts
103,CA Olesa En tràmit
104,UA Barberà En tràmit
105,CEF Fem Força
106,UA Montsià
107,CA Sport Canet 1980
108,Ripollet UA En tramit
