resultado_id,atleta_id,club_id,prueba_id,fecha,anio,mes,marca_texto,marca_valor,unidad,genero,superficie,categoria_id
1,1,1,1,2021-03-01,2021,3,11.2,11.20000,s,MASC,AL,1
2,2,1,1,2021-03-01,2021,3,11.3,11.30000,s,MASC,AL,1
3,3,1,1,2021-03-01,2021,3,13.4,13.40000,s,MASC,AL,1
4,3,1,1,2021-03-01,2021,3,13.8,13.80000,s,MASC,AL,1
5,4,1,1,2021-03-01,2021,3,12.2,12.20000,s,FEM,AL,1
6,5,1,1,2021-03-01,2021,3,12.4,12.40000,s,FEM,AL,1
7,6,1,1,2021-03-01,2021,3,12.4,12.40000,s,FEM,AL,1
8,7,1,1,2021-03-01,2021,3,14.4,14.40000,s,FEM,AL,1
9,8,1,1,2022-02-01,2022,2,11.60,11.60000,s,MASC,PC,1
10,9,1,1,2022-02-01,2022,2,12.36,12.36000,s,FEM,PC,2
11,10,1,1,2022-02-01,2022,2,14.59,14.59000,s,FEM,PC,1
12,11,1,1,2023-01-01,2023,1,11.56,11.56000,s,FEM,PC,1
13,3,1,1,2023-05-01,2023,5,11.31,11.31000,s,MASC,AL,2
14,12,1,1,2023-05-01,2023,5,10.77,10.77000,s,MASC,AL,2
15,1,1,1,2023-05-01,2023,5,11.13,11.13000,s,MASC,AL,2
16,12,1,1,2023-06-01,2023,6,11.16,11.16000,s,MASC,AL,2
17,3,1,1,2023-06-01,2023,6,11.20,11.20000,s,MASC,AL,2
18,13,1,1,2023-06-01,2023,6,12.01,12.01000,s,MASC,AL,2
19,14,1,1,2023-12-01,2023,12,10.85,10.85000,s,MASC,PC,2
20,15,1,1,2023-12-01,2023,12,11.39,11.39000,s,MASC,PC,2
21,16,1,1,2023-12-01,2023,12,10.97,10.97000,s,MASC,PC,2
22,12,1,1,2023-12-01,2023,12,11.64,11.64000,s,MASC,PC,2
23,17,1,1,2023-12-01,2023,12,11.50,11.50000,s,MASC,PC,2
24,18,1,1,2023-12-01,2023,12,11.76,11.76000,s,MASC,PC,2
25,19,1,1,2023-12-01,2023,12,10.75,10.75000,s,MASC,PC,2
26,3,1,1,2023-12-01,2023,12,11.60,11.60000,s,MASC,PC,3
27,1,1,1,2023-12-01,2023,12,9.50,9.50000,s,MASC,PC,3
28,20,1,1,2023-12-01,2023,12,10.58,10.58000,s,MASC,PC,3
29,21,1,1,2023-12-01,2023,12,10.99,10.99000,s,MASC,PC,3
30,11,1,1,2023-12-01,2023,12,10.96,10.96000,s,FEM,PC,2
31,1,1,1,2024-01-01,2024,1,9.24,9.24000,s,MASC,AL,3
32,2,1,1,2024-01-01,2024,1,10.12,10.12000,s,MASC,AL,3
33,22,1,1,2024-01-01,2024,1,10.40,10.40000,s,MASC,AL,3
34,23,1,1,2024-01-01,2024,1,11.04,11.04000,s,MASC,AL,3
35,19,1,1,2024-01-01,2024,1,10.83,10.83000,s,MASC,AL,2
36,16,1,1,2024-01-01,2024,1,11.26,11.26000,s,MASC,AL,2
37,12,1,1,2024-01-01,2024,1,11.79,11.79000,s,MASC,AL,2
38,17,1,1,2024-01-01,2024,1,11.66,11.66000,s,MASC,AL,2
39,24,1,1,2024-01-01,2024,1,12.02,12.02000,s,MASC,AL,2
40,25,1,1,2024-01-01,2024,1,13.43,13.43000,s,MASC,AL,2
41,26,1,1,2024-01-01,2024,1,12.07,12.07000,s,MASC,AL,1
42,27,1,1,2024-01-01,2024,1,14.75,14.75000,s,MASC,AL,1
43,28,1,1,2024-01-01,2024,1,11.87,11.87000,s,MASC,AL,1
44,29,1,1,2024-01-01,2024,1,13.69,13.69000,s,MASC,AL,1
45,30,1,1,2024-01-01,2024,1,10.88,10.88000,s,FEM,AL,2
46,11,1,1,2024-01-01,2024,1,11.01,11.01000,s,FEM,AL,2
47,31,1,1,2024-01-01,2024,1,11.73,11.73000,s,FEM,AL,2
48,32,1,1,2024-01-01,2024,1,10.87,10.87000,s,FEM,AL,2
49,33,1,1,2024-01-01,2024,1,13.40,13.40000,s,FEM,AL,2
50,11,1,1,2024-03-01,2024,3,10.80,10.80000,s,FEM,PC,2
51,34,1,1,2024-05-01,2024,5,9.66,9.66000,s,MASC,AL,3
52,19,1,1,2024-06-01,2024,6,10.32,10.32000,s,MASC,AL,2
53,14,1,1,2024-06-01,2024,6,9.89,9.89000,s,MASC,AL,2
54,1,1,1,2024-06-01,2024,6,9.04,9.04000,s,MASC,AL,3
55,35,2,1,2021-03-01,2021,3,14.3,14.30000,s,MASC,AL,4
56,36,2,1,2021-03-01,2021,3,13.9,13.90000,s,MASC,AL,4
57,37,2,1,2021-03-01,2021,3,12.3,12.30000,s,MASC,AL,4
58,38,2,1,2021-03-01,2021,3,14.0,14.00000,s,MASC,AL,4
59,39,2,1,2021-03-01,2021,3,11.0,11.00000,s,FEM,AL,4
60,40,2,1,2021-03-01,2021,3,12.3,12.30000,s,FEM,AL,4
61,37,2,1,2021-05-01,2021,5,12.1,12.10000,s,MASC,AL,4
62,36,2,1,2021-05-01,2021,5,13.4,13.40000,s,MASC,AL,4
63,41,2,1,2021-05-01,2021,5,14.0,14.00000,s,MASC,AL,4
64,35,2,1,2021-05-01,2021,5,14.4,14.40000,s,MASC,AL,4
66,43,2,1,2021-05-01,2021,5,15.3,15.30000,s,MASC,AL,4
67,39,2,1,2021-05-01,2021,5,10.8,10.80000,s,FEM,AL,4
68,40,2,1,2021-05-01,2021,5,12.0,12.00000,s,FEM,AL,4
69,44,2,1,2021-05-01,2021,5,12.7,12.70000,s,FEM,AL,4
70,40,2,1,2022-02-01,2022,2,11.50,11.50000,s,FEM,PC,1
71,39,2,1,2022-05-01,2022,5,10.5,10.50000,s,FEM,AL,4
72,39,2,1,2023-06-01,2023,6,10.13,10.13000,s,FEM,AL,2
73,40,2,1,2023-06-01,2023,6,10.23,10.23000,s,FEM,AL,2
74,37,2,1,2023-09-01,2023,9,10.28,10.28000,s,MASC,AL,2
75,45,2,1,2023-09-01,2023,9,10.65,10.65000,s,MASC,AL,2
76,39,2,1,2023-09-01,2023,9,10.30,10.30000,s,FEM,AL,2
77,40,2,1,2023-09-01,2023,9,10.31,10.31000,s,FEM,AL,2
78,44,2,1,2023-09-01,2023,9,11.19,11.19000,s,FEM,AL,2
79,37,2,1,2023-09-01,2023,9,10.28,10.28000,s,MASC,AL,2
80,45,2,1,2023-09-01,2023,9,10.65,10.65000,s,MASC,AL,2
81,39,2,1,2023-09-01,2023,9,10.30,10.30000,s,FEM,AL,2
82,40,2,1,2023-09-01,2023,9,10.31,10.31000,s,FEM,AL,2
83,44,2,1,2023-09-01,2023,9,11.19,11.19000,s,FEM,AL,2
84,40,2,1,2024-06-01,2024,6,9.81,9.81000,s,FEM,AL,2
85,40,2,1,2024-06-01,2024,6,10.08,10.08000,s,FEM,AL,2
86,46,3,1,2021-03-01,2021,3,12.0,12.00000,s,MASC,AL,4
87,47,3,1,2021-06-01,2021,6,11.75,11.75000,s,MASC,AL,1
88,48,3,1,2021-06-01,2021,6,11.85,11.85000,s,MASC,AL,1
89,49,3,1,2022-02-01,2022,2,12.65,12.65000,s,MASC,PC,1
90,50,3,1,2022-05-01,2022,5,12.74,12.74000,s,MASC,AL,1
91,51,3,1,2022-05-01,2022,5,13.21,13.21000,s,MASC,AL,1
92,52,3,1,2022-06-01,2022,6,10.3,10.30000,s,MASC,AL,2
93,53,3,1,2022-12-01,2022,12,11.83,11.83000,s,FEM,AL,2
94,54,3,1,2022-12-01,2022,12,12.28,12.28000,s,FEM,AL,2
95,55,3,1,2023-01-01,2023,1,13.97,13.97000,s,MASC,PC,1
96,56,3,1,2023-01-01,2023,1,12.81,12.81000,s,MASC,PC,1
97,57,3,1,2023-02-01,2023,2,10.52,10.52000,s,MASC,PC,2
98,54,3,1,2023-02-01,2023,2,11.84,11.84000,s,FEM,PC,2
99,58,3,1,2023-02-01,2023,2,11.69,11.69000,s,FEM,PC,2
100,50,3,1,2023-05-01,2023,5,12.04,12.04000,s,MASC,AL,2
101,58,3,1,2023-05-01,2023,5,11.74,11.74000,s,FEM,AL,2
102,57,3,1,2023-06-01,2023,6,9.88,9.88000,s,MASC,AL,2
103,59,3,1,2023-06-01,2023,6,11.13,11.13000,s,MASC,AL,2
104,60,3,1,2023-09-01,2023,9,10.41,10.41000,s,MASC,AL,2
105,47,3,1,2023-09-01,2023,9,10.48,10.48000,s,MASC,AL,2
106,50,3,1,2023-09-01,2023,9,11.82,11.82000,s,MASC,AL,2
107,60,3,1,2023-09-01,2023,9,10.41,10.41000,s,MASC,AL,2
108,47,3,1,2023-09-01,2023,9,10.48,10.48000,s,MASC,AL,2
109,50,3,1,2023-09-01,2023,9,11.82,11.82000,s,MASC,AL,2
110,57,3,1,2024-01-01,2024,1,10.10,10.10000,s,MASC,AL,3
111,61,3,1,2024-01-01,2024,1,10.71,10.71000,s,FEM,AL,3
112,62,3,1,2024-08-01,2024,8,11.34,11.34000,s,FEM,AL,3
113,63,3,1,2024-08-01,2024,8,11.77,11.77000,s,FEM,AL,3
114,62,3,1,2024-08-01,2024,8,11.34,11.34000,s,FEM,AL,3
115,63,3,1,2024-08-01,2024,8,11.77,11.77000,s,FEM,AL,3
116,64,4,1,2021-03-01,2021,3,14.1,14.10000,s,MASC,AL,4
117,65,4,1,2022-01-01,2022,1,11.85,11.85000,s,MASC,PC,2
118,66,4,1,2022-01-01,2022,1,11.49,11.49000,s,MASC,PC,2
119,67,4,1,2022-01-01,2022,1,11.13,11.13000,s,MASC,PC,2
120,68,4,1,2022-01-01,2022,1,11.79,11.79000,s,FEM,PC,2
121,65,4,1,2022-02-01,2022,2,12.25,12.25000,s,MASC,PC,2
122,67,4,1,2022-02-01,2022,2,10.97,10.97000,s,MASC,PC,2
123,69,4,1,2022-02-01,2022,2,12.91,12.91000,s,MASC,PC,1
124,70,4,1,2022-02-01,2022,2,12.73,12.73000,s,MASC,PC,1
125,68,4,1,2022-02-01,2022,2,11.64,11.64000,s,FEM,PC,2
126,71,4,1,2022-02-01,2022,2,15.20,15.20000,s,FEM,PC,1
127,67,4,1,2022-05-01,2022,5,10.8,10.80000,s,MASC,AL,4
128,67,4,1,2022-11-01,2022,11,10.73,10.73000,s,MASC,AL,2
129,72,4,1,2022-11-01,2022,11,10.97,10.97000,s,MASC,AL,2
130,67,4,1,2022-12-01,2022,12,10.82,10.82000,s,MASC,AL,2
131,73,4,1,2022-12-01,2022,12,12.31,12.31000,s,MASC,AL,2
132,74,4,1,2022-12-01,2022,12,12.09,12.09000,s,MASC,AL,2
133,75,4,1,2022-12-01,2022,12,12.61,12.61000,s,FEM,AL,2
134,76,4,1,2023-01-01,2023,1,13.73,13.73000,s,MASC,PC,1
135,77,4,1,2023-01-01,2023,1,14.25,14.25000,s,MASC,PC,1
136,72,4,1,2023-03-01,2023,3,11.14,11.14000,s,MASC,AL,2
137,78,4,1,2023-12-01,2023,12,12.85,12.85000,s,MASC,PC,1
138,79,4,1,2023-12-01,2023,12,14.14,14.14000,s,MASC,PC,1
139,80,4,1,2023-12-01,2023,12,12.28,12.28000,s,MASC,PC,1
140,81,4,1,2023-12-01,2023,12,12.78,12.78000,s,FEM,PC,1
141,82,4,1,2023-12-01,2023,12,13.24,13.24000,s,FEM,PC,1
142,83,4,1,2023-12-01,2023,12,12.46,12.46000,s,FEM,PC,1
